2025-08-13 03:58:37 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:37] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:58:48 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:48] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:58:58 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:58:58] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:59:08 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:59:08] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:59:18 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:59:18] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:59:28 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:59:28] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:59:33 | INFO     | werkzeug             |  * Detected change in 'D:\\t2d\\VideoProcessorApp\\web_ui.py', reloading
2025-08-13 03:59:33 | INFO     | werkzeug             |  * Detected change in 'D:\\t2d\\VideoProcessorApp\\web_ui.py', reloading
2025-08-13 04:00:31 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 04:00:31 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 04:00:31 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:00:31] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 04:00:33 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 04:00:33 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 04:00:33 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:00:33] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 04:00:39 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:00:39] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 04:00:50 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:00:50] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 04:00:59 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:00:59] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 04:01:10 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:01:10] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 04:01:16 | INFO     | werkzeug             |  * Detected change in 'D:\\t2d\\VideoProcessorApp\\web_ui.py', reloading
2025-08-13 04:01:16 | INFO     | werkzeug             |  * Detected change in 'D:\\t2d\\VideoProcessorApp\\web_ui.py', reloading
2025-08-13 04:01:33 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 04:01:33 | INFO     | queue_manager        | Queue Manager initialized with file: queue.json
2025-08-13 04:01:33 | WARNING  | werkzeug             |  * Debugger is active!
2025-08-13 04:01:33 | INFO     | werkzeug             |  * Debugger PIN: 398-778-523
2025-08-13 04:01:34 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:01:34] "GET /socket.io/?EIO=4&transport=polling&t=PYXO3Mb HTTP/1.1" 200 -
2025-08-13 04:01:34 | INFO     | __main__             | Client connected: 127.0.0.1
2025-08-13 04:01:34 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:01:34] "POST /socket.io/?EIO=4&transport=polling&t=PYXO3Rk&sid=Qo_OoF19xRGc2EMiAAAA HTTP/1.1" 200 -
2025-08-13 04:01:34 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 04:01:34] "GET /socket.io/?EIO=4&transport=polling&t=PYXO3Rl&sid=Qo_OoF19xRGc2EMiAAAA HTTP/1.1" 200 -
